occ,naq,bre,hdf,pll,nor,pac,cor
0.966,0.599,0.048,0.06,0.578,0.885,0.106,0.836
0.959,0.652,0.059,0.058,0.601,0.876,0.335,0.827
0.949,0.747,0.085,0.054,0.665,0.876,0.583,0.815
0.931,0.809,0.112,0.049,0.723,0.873,0.68,0.795
0.93,0.816,0.131,0.045,0.744,0.855,0.663,0.783
0.936,0.802,0.161,0.042,0.689,0.839,0.616,0.769
0.94,0.788,0.193,0.043,0.704,0.836,0.535,0.768
0.943,0.775,0.197,0.055,0.727,0.857,0.416,0.769
0.949,0.747,0.182,0.074,0.707,0.888,0.301,0.758
0.955,0.751,0.187,0.094,0.633,0.901,0.246,0.733
0.961,0.764,0.197,0.118,0.587,0.902,0.239,0.698
0.968,0.786,0.195,0.148,0.559,0.894,0.251,0.671
0.972,0.804,0.175,0.171,0.529,0.881,0.26,0.648
0.98,0.802,0.164,0.175,0.553,0.867,0.231,0.618
0.983,0.785,0.158,0.168,0.58,0.884,0.2,0.589
0.981,0.76,0.14,0.156,0.608,0.909,0.195,0.568
0.981,0.713,0.124,0.146,0.618,0.919,0.187,0.545
0.98,0.661,0.123,0.136,0.63,0.927,0.18,0.519
0.978,0.621,0.137,0.124,0.641,0.943,0.165,0.484
0.979,0.596,0.164,0.112,0.641,0.953,0.12,0.451
0.982,0.528,0.177,0.097,0.653,0.962,0.075,0.385
0.986,0.457,0.171,0.088,0.75,0.964,0.061,0.313
0.988,0.409,0.165,0.083,0.805,0.968,0.052,0.272
0.987,0.358,0.161,0.086,0.796,0.972,0.031,0.267
0.983,0.32,0.148,0.1,0.829,0.972,0.013,0.299
0.978,0.326,0.151,0.129,0.868,0.968,0.013,0.382
0.977,0.395,0.209,0.156,0.882,0.962,0.019,0.464
0.977,0.455,0.284,0.177,0.883,0.953,0.023,0.486
0.982,0.474,0.333,0.19,0.868,0.947,0.027,0.454
0.986,0.446,0.352,0.195,0.853,0.942,0.024,0.4
0.988,0.378,0.352,0.193,0.825,0.935,0.021,0.346
0.99,0.318,0.344,0.19,0.787,0.922,0.025,0.276
0.991,0.272,0.331,0.189,0.766,0.909,0.033,0.217
0.99,0.205,0.319,0.187,0.773,0.904,0.039,0.173
0.989,0.144,0.307,0.18,0.79,0.913,0.048,0.139
0.988,0.122,0.287,0.173,0.802,0.918,0.058,0.11
0.989,0.114,0.248,0.163,0.784,0.909,0.062,0.079
0.99,0.112,0.191,0.138,0.732,0.907,0.056,0.065
0.991,0.137,0.147,0.105,0.684,0.895,0.047,0.067
0.991,0.178,0.128,0.082,0.649,0.879,0.045,0.069
0.99,0.208,0.123,0.071,0.615,0.86,0.043,0.065
0.987,0.226,0.131,0.069,0.564,0.835,0.043,0.053
0.983,0.24,0.144,0.067,0.498,0.81,0.047,0.037
0.98,0.2,0.144,0.066,0.397,0.768,0.042,0.006
0.982,0.143,0.133,0.06,0.358,0.737,0.053,0.003
0.986,0.099,0.122,0.054,0.337,0.716,0.098,0.013
0.986,0.072,0.12,0.049,0.277,0.683,0.173,0.043
0.984,0.06,0.121,0.042,0.228,0.612,0.227,0.084
0.978,0.058,0.116,0.038,0.198,0.513,0.275,0.115
0.963,0.075,0.129,0.037,0.17,0.441,0.316,0.132
0.947,0.106,0.178,0.039,0.158,0.426,0.34,0.132
0.928,0.138,0.219,0.042,0.149,0.409,0.357,0.122
0.902,0.159,0.24,0.047,0.128,0.388,0.382,0.115
0.883,0.171,0.238,0.056,0.098,0.358,0.418,0.111
0.853,0.166,0.206,0.07,0.07,0.322,0.451,0.114
0.841,0.144,0.182,0.084,0.054,0.282,0.477,0.128
0.832,0.11,0.175,0.108,0.043,0.26,0.477,0.146
0.811,0.075,0.166,0.136,0.03,0.263,0.457,0.166
0.813,0.043,0.149,0.165,0.018,0.286,0.42,0.181
0.794,0.026,0.124,0.189,0.009,0.315,0.379,0.185
0.804,0.02,0.098,0.197,0.004,0.352,0.345,0.188
0.79,0.02,0.087,0.193,0.004,0.388,0.316,0.187
0.782,0.029,0.086,0.191,0.004,0.419,0.288,0.183
0.75,0.05,0.086,0.196,0.004,0.446,0.268,0.178
0.707,0.076,0.093,0.205,0.005,0.489,0.255,0.171
0.648,0.09,0.104,0.219,0.007,0.535,0.247,0.164
0.508,0.085,0.116,0.245,0.013,0.542,0.223,0.16
0.38,0.058,0.13,0.254,0.017,0.518,0.175,0.164
0.295,0.036,0.143,0.245,0.022,0.508,0.121,0.187
0.215,0.021,0.156,0.232,0.031,0.559,0.091,0.211
0.148,0.01,0.175,0.219,0.035,0.592,0.076,0.223
0.088,0.005,0.197,0.202,0.034,0.585,0.067,0.216
0.045,0.004,0.213,0.187,0.039,0.577,0.057,0.195
0.021,0.005,0.221,0.197,0.051,0.575,0.058,0.177
0.012,0.01,0.242,0.213,0.061,0.581,0.055,0.16
0.01,0.019,0.282,0.224,0.075,0.591,0.051,0.138
0.014,0.03,0.325,0.232,0.096,0.63,0.046,0.128
0.028,0.04,0.385,0.237,0.118,0.67,0.045,0.132
0.049,0.047,0.412,0.245,0.142,0.684,0.047,0.145
0.075,0.04,0.431,0.269,0.183,0.708,0.053,0.166
0.11,0.03,0.464,0.322,0.223,0.71,0.06,0.183
0.151,0.023,0.504,0.388,0.241,0.702,0.067,0.188
0.183,0.019,0.529,0.461,0.237,0.703,0.075,0.183
0.211,0.015,0.544,0.491,0.229,0.701,0.082,0.171
0.224,0.013,0.546,0.482,0.234,0.707,0.097,0.157
0.241,0.01,0.546,0.47,0.239,0.714,0.13,0.147
0.249,0.01,0.544,0.473,0.249,0.74,0.201,0.14
0.241,0.013,0.542,0.506,0.277,0.757,0.31,0.14
0.232,0.016,0.56,0.553,0.313,0.767,0.429,0.152
0.223,0.019,0.56,0.593,0.345,0.762,0.522,0.179
0.197,0.028,0.572,0.575,0.374,0.758,0.561,0.207
0.154,0.03,0.571,0.523,0.41,0.76,0.575,0.235
