occ,naq,bre,hdf,pll,ara,est,nor,bfc,cvl,pac,cor,idf
0.709,0.151,0.274,0.478,0.322,0.111,0.35,0.475,0.278,0.207,0.31,0.212,0.207
0.779,0.164,0.215,0.503,0.267,0.138,0.361,0.533,0.243,0.201,0.433,0.193,0.205
0.801,0.188,0.215,0.523,0.211,0.191,0.42,0.544,0.249,0.203,0.513,0.183,0.287
0.814,0.23,0.245,0.594,0.199,0.243,0.481,0.535,0.252,0.229,0.521,0.169,0.395
0.829,0.267,0.246,0.682,0.19,0.289,0.511,0.55,0.251,0.267,0.519,0.154,0.422
0.827,0.336,0.223,0.676,0.165,0.323,0.545,0.535,0.269,0.269,0.55,0.127,0.411
0.828,0.401,0.219,0.623,0.179,0.349,0.547,0.505,0.29,0.299,0.589,0.106,0.364
0.836,0.434,0.269,0.589,0.227,0.382,0.527,0.527,0.307,0.307,0.594,0.081,0.336
0.841,0.43,0.301,0.552,0.245,0.436,0.495,0.555,0.299,0.295,0.623,0.049,0.336
0.852,0.4,0.316,0.567,0.248,0.503,0.479,0.561,0.281,0.288,0.705,0.052,0.366
0.866,0.349,0.307,0.553,0.246,0.531,0.478,0.542,0.222,0.289,0.727,0.11,0.368
0.854,0.305,0.286,0.539,0.235,0.55,0.479,0.513,0.187,0.281,0.734,0.205,0.362
0.845,0.278,0.259,0.527,0.222,0.516,0.469,0.516,0.193,0.267,0.736,0.267,0.339
0.846,0.245,0.231,0.527,0.203,0.499,0.482,0.536,0.201,0.26,0.731,0.297,0.339
0.835,0.183,0.24,0.577,0.203,0.473,0.493,0.568,0.208,0.257,0.714,0.335,0.37
0.825,0.127,0.262,0.602,0.2,0.476,0.482,0.593,0.205,0.248,0.703,0.397,0.43
0.828,0.106,0.291,0.605,0.173,0.506,0.468,0.589,0.228,0.245,0.709,0.484,0.43
0.829,0.093,0.313,0.619,0.139,0.499,0.443,0.59,0.235,0.299,0.718,0.578,0.399
0.835,0.097,0.324,0.602,0.126,0.487,0.425,0.594,0.26,0.297,0.724,0.677,0.416
0.827,0.118,0.317,0.597,0.12,0.475,0.41,0.604,0.286,0.315,0.721,0.722,0.455
0.823,0.125,0.297,0.569,0.147,0.461,0.375,0.621,0.293,0.323,0.712,0.75,0.454
0.826,0.117,0.289,0.592,0.156,0.444,0.325,0.626,0.301,0.347,0.69,0.765,0.46
0.829,0.105,0.315,0.558,0.153,0.422,0.291,0.643,0.344,0.408,0.673,0.752,0.488
0.836,0.083,0.333,0.578,0.178,0.44,0.281,0.636,0.405,0.389,0.666,0.706,0.417
0.852,0.102,0.243,0.542,0.182,0.547,0.267,0.599,0.397,0.352,0.736,0.66,0.386
0.878,0.168,0.249,0.513,0.222,0.649,0.308,0.612,0.403,0.425,0.829,0.647,0.438
0.907,0.22,0.338,0.562,0.375,0.694,0.355,0.658,0.471,0.502,0.856,0.678,0.496
0.922,0.278,0.358,0.594,0.401,0.731,0.365,0.655,0.493,0.476,0.854,0.726,0.504
0.923,0.328,0.383,0.542,0.388,0.736,0.373,0.627,0.445,0.442,0.839,0.764,0.485
0.903,0.344,0.386,0.493,0.358,0.654,0.369,0.563,0.321,0.36,0.825,0.788,0.37
0.865,0.311,0.348,0.517,0.315,0.583,0.386,0.557,0.304,0.325,0.801,0.799,0.344
0.848,0.307,0.339,0.488,0.319,0.572,0.381,0.584,0.351,0.367,0.783,0.787,0.337
0.847,0.327,0.328,0.488,0.364,0.581,0.33,0.554,0.293,0.323,0.764,0.761,0.293
0.84,0.341,0.304,0.497,0.341,0.558,0.299,0.564,0.311,0.294,0.762,0.74,0.316
0.841,0.341,0.283,0.507,0.299,0.513,0.298,0.577,0.305,0.288,0.762,0.73,0.358
0.835,0.328,0.293,0.509,0.271,0.511,0.284,0.546,0.29,0.264,0.757,0.731,0.367
0.812,0.316,0.309,0.472,0.26,0.507,0.243,0.524,0.262,0.289,0.747,0.74,0.33
0.798,0.317,0.304,0.452,0.218,0.496,0.211,0.495,0.252,0.252,0.734,0.734,0.329
0.783,0.306,0.28,0.417,0.183,0.512,0.215,0.45,0.237,0.283,0.732,0.693,0.297
0.763,0.297,0.259,0.371,0.166,0.519,0.206,0.389,0.212,0.247,0.734,0.616,0.269
0.741,0.274,0.246,0.35,0.155,0.505,0.203,0.368,0.191,0.248,0.744,0.504,0.272
0.739,0.243,0.22,0.317,0.152,0.522,0.182,0.341,0.184,0.222,0.761,0.381,0.284
