h;agg
976;1643,831836502
977;1641,305399137
978;1637,294212184
979;1627,522416377
980;1617,838565515
981;1604,659522305
982;1595,095893674
983;1586,791572135
984;1579,304137597
985;1574,033080986
986;1559,120807309
987;1544,715317798
988;1526,514648741
989;1510,088288176
990;1496,631250389
991;1479,494712534
992;1467,102259021
993;1458,120959813
994;1456,781019663
995;1450,826722665
996;1446,097044831
997;1441,830004286
998;1435,512633218
999;1424,506561497
1000;1407,150730264
1001;1386,71440444
1002;1364,098891553
1003;1341,768312647
1004;1318,588010513
1005;1292,448735849
1006;1269,064387536
1007;1249,395533262
1008;1236,859660762
1009;1223,05467809
1010;1203,549152799
1011;1184,800278867
1012;1161,155749187
1013;1137,546664438
1014;1115,280864057
1015;1094,175491464
1016;1084,675186695
1017;1082,602066599
1018;1084,117740902
1019;1090,013629486
1020;1094,128718642
1021;1099,414430445
1022;1106,219674712
1023;1112,721757259
1024;1111,022024686
1025;1109,925374607
1026;1104,840686646
1027;1103,851888309
1028;1098,816903035
1029;1091,37998221
1030;1084,867504168
1031;1079,736124344
1032;1077,860639221
1033;1071,581015111
1034;1064,966905156
1035;1057,587588987
1036;1050,430614528
1037;1038,946992152
1038;1024,599487556
1039;1015,305879654
1040;1013,422305787
1041;1018,806301292
1042;1028,17315576
1043;1040,006179333
1044;1051,76908967
1045;1061,184209743
1046;1073,404199119
1047;1079,918926448
1048;1075,731419512
1049;1062,018165135
1050;1042,4405513
1051;1022,959227048
1052;995,792315604
1053;968,781638844
1054;950,435640057
1055;935,880742937
1056;923,596664453
1057;904,077326382
1058;886,618531096
1059;874,462902094
1060;862,156757441
1061;857,062710988
1062;860,139198807
1063;871,663071843
1064;885,251354139
1065;894,907883012
1066;900,050824237
1067;906,547075591
1068;909,010255832
1069;912,096246414
1070;915,455916317
1071;915,428685989
1072;911,108182486
1073;900,387433285
1074;888,917124095
1075;877,65603419
1076;859,443619922
1077;837,719919717
1078;823,009162113
1079;811,075362962
1080;804,955352704
1081;798,414321897
1082;802,389211197
1083;806,554994039
1084;810,033466853
1085;807,653601816
1086;806,006344297
1087;805,946428407
1088;807,316405178
1089;807,451249897
1090;805,543251913
1091;796,795736086
1092;779,75111505
1093;761,887414242
1094;744,484771801
1095;735,019124027
1096;722,7890541
1097;708,98861012
1098;696,147877794
1099;677,548273593
1100;657,422589332
1101;635,729348708
1102;621,089548788
1103;609,647662448
1104;597,030982568
1105;584,299243744
1106;573,648031012
1107;571,124513944
1108;572,565410517
1109;573,887700793
1110;578,522078284
1111;582,933091964
1112;581,779165101
1113;582,909868583
1114;575,476681321
1115;575,596979367
1116;579,591466545
1117;588,462471735
1118;597,107114665
1119;605,562606538
1120;613,308289366
1121;619,021948645
1122;618,435088265
1123;618,173671687
1124;616,96823976
1125;614,628571569
1126;617,324684025
1127;624,488785648
1128;630,817682334
1129;644,321432906
1130;650,362624075
1131;661,251349516
1132;664,10778313
1133;665,824263837
1134;670,837665649
1135;673,756221465
1136;673,756221465
1137;670,562533894
1138;673,029525948
1139;679,418261394
1140;684,816587105
1141;688,200684418
1142;692,795080866
1143;700,276208812
1144;710,881028387
1145;717,846552573
1146;718,496886551
1147;715,007991354
1148;709,100944109
1149;702,266214079
1150;696,108358209
1151;691,696370293
1152;690,964466153
1153;688,477011471
1154;689,191192545
1155;681,078918948
1156;678,884844993
1157;679,720654585
1158;687,439055368
1159;692,545403563
1160;708,275598923
1161;721,677355389
1162;737,043939034
1163;750,697305692
1164;762,118668587
1165;779,422518473
1166;803,521993699
1167;827,720518493
1168;842,403168865
1169;850,329838746
1170;852,513140764
1171;856,280383792
1172;857,118844587
1173;850,30443219
1174;846,410422485
1175;843,928762327
1176;845,135333349
1177;843,587502635
1178;843,031453427
1179;845,206960295
1180;848,849292028
1181;852,906869031
1182;862,396562914
1183;870,488685772
1184;876,31445978
1185;891,207741844
1186;894,529101339
1187;894,436793698
1188;889,289742899
1189;885,807260098
1190;882,972904617
1191;877,275863296
1192;871,417571058
1193;869,855084752
1194;865,702701897
1195;856,028005501
1196;844,598021023
1197;832,248283865
1198;820,246117311
1199;812,763774173
1200;810,128940449
1201;807,804144935
1202;806,604485957
1203;807,328767685
1204;809,585366211
1205;812,697534287
1206;824,057980999
1207;843,576839335
1208;865,560337751
1209;879,655768532
1210;886,560013792
1211;892,331660143
1212;896,07706328
1213;902,454582884
1214;907,928216289
1215;918,477194603
1216;930,456219545
1217;939,218638656
1218;945,270080862
1219;945,769993647
1220;946,125942641
1221;948,040145547
